case_id,customer_id,account_id,related_transaction_id,category,channel,priority,status,opened_at,assigned_queue,kb_article_id,short_summary,requested_action,resolution,customer_sentiment,synthetic_notice
CASE-00050,CUST-00151,ACCT-000151,TXN-0000250,account access issue,phone,High,Escalated,2026-06-15 13:52 ET,Digital Support,KB-0005,"Customer cannot sign in, pass MFA, reset password, or access mobile banking.","Validate identity, unlock profile, reset MFA when appropriate, and warn about scams.",Pending copilot recommendation,Confused,Synthetic service case
CASE-00051,CUST-00162,ACCT-000362,TXN-0000223,wire transfer question,secure message,Urgent,In Progress,2026-05-18 14:54 ET,Wire Desk,KB-0006,"Customer asks about wire status, cutoff, fees, limits, or required details.","Explain cutoff, fee, status, and escalation path without promising settlement.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00052,CUST-00173,ACCT-000173,TXN-0000196,loan payoff question,chat,Urgent,Waiting on Customer,2026-05-30 15:15 ET,Loan Servicing,KB-0007,"Customer requests payoff balance, quote expiration, per diem, or lien release timing.","Generate payoff quote, explain good-through date and acceptable payment methods.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00053,CUST-00184,ACCT-000384,TXN-0000169,dispute handoff,email,Medium,Resolved,2026-05-29 16:05 ET,Disputes Intake,KB-0008,Customer reports an unauthorized or incorrect transaction that requires formal dispute handling.,"Capture facts, provide provisional credit expectations, and transfer to disputes.",Dispute handoff completed,Neutral,Synthetic service case
CASE-00054,CUST-00195,ACCT-000195,TXN-0000142,complaint escalation,phone,High,Escalated,2026-06-15 08:33 ET,Executive Resolution,KB-0009,"Customer expresses dissatisfaction, regulatory concern, hardship, or repeated unresolved contact.","Acknowledge complaint, avoid defensiveness, create escalation record, and set follow-up window.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00055,CUST-00006,ACCT-000206,TXN-0000315,overdraft fee reversal,secure message,Urgent,New,2026-06-17 09:58 ET,Deposits Servicing,KB-0001,Customer requests an overdraft fee refund after a timing or courtesy issue.,Apply courtesy credit when eligible; otherwise explain policy and alternatives.,Pending copilot recommendation,Confused,Synthetic service case
CASE-00056,CUST-00017,ACCT-000017,TXN-0000288,card replacement,chat,Low,In Progress,2026-06-11 10:30 ET,Cards Operations,KB-0002,"Customer needs a replacement card due to loss, damage, expiration, or suspected compromise.","Verify identity, block old card when needed, confirm delivery address and shipping speed.",Pending copilot recommendation,Frustrated,Synthetic service case
CASE-00057,CUST-00028,ACCT-000228,TXN-0000261,address change,email,Medium,Waiting on Customer,2026-05-09 11:25 ET,Customer Maintenance,KB-0003,Customer asks to update mailing or residential address.,Complete step-up verification and confirm tax-document and card-delivery impacts.,Pending copilot recommendation,Neutral,Synthetic service case
CASE-00058,CUST-00039,ACCT-000039,TXN-0000234,payment not posted,phone,High,Resolved,2026-05-11 12:04 ET,Payments Research,KB-0004,"Customer says a bill pay, loan, card, or deposit payment has not appeared.","Collect trace data, check posting windows, and open research if outside SLA.",Payment research opened,Neutral,Synthetic service case
CASE-00059,CUST-00050,ACCT-000250,TXN-0000207,account access issue,secure message,Urgent,Escalated,2026-05-30 13:23 ET,Digital Support,KB-0005,"Customer cannot sign in, pass MFA, reset password, or access mobile banking.","Validate identity, unlock profile, reset MFA when appropriate, and warn about scams.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00060,CUST-00061,ACCT-000061,TXN-0000180,wire transfer question,chat,Low,Escalated,2026-05-14 14:36 ET,Wire Desk,KB-0006,"Customer asks about wire status, cutoff, fees, limits, or required details.","Explain cutoff, fee, status, and escalation path without promising settlement.",Pending copilot recommendation,Confused,Synthetic service case
CASE-00061,CUST-00072,ACCT-000272,TXN-0000153,loan payoff question,email,Medium,In Progress,2026-06-13 15:48 ET,Loan Servicing,KB-0007,"Customer requests payoff balance, quote expiration, per diem, or lien release timing.","Generate payoff quote, explain good-through date and acceptable payment methods.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00062,CUST-00083,ACCT-000083,TXN-0000126,dispute handoff,phone,High,Waiting on Customer,2026-06-01 16:40 ET,Disputes Intake,KB-0008,Customer reports an unauthorized or incorrect transaction that requires formal dispute handling.,"Capture facts, provide provisional credit expectations, and transfer to disputes.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00063,CUST-00094,ACCT-000294,TXN-0000099,complaint escalation,secure message,Urgent,Resolved,2026-05-18 08:24 ET,Executive Resolution,KB-0009,"Customer expresses dissatisfaction, regulatory concern, hardship, or repeated unresolved contact.","Acknowledge complaint, avoid defensiveness, create escalation record, and set follow-up window.",Complaint escalated,Neutral,Synthetic service case
CASE-00064,CUST-00105,ACCT-000105,TXN-0000072,overdraft fee reversal,chat,Low,Escalated,2026-05-11 09:49 ET,Deposits Servicing,KB-0001,Customer requests an overdraft fee refund after a timing or courtesy issue.,Apply courtesy credit when eligible; otherwise explain policy and alternatives.,Pending copilot recommendation,Frustrated,Synthetic service case
CASE-00065,CUST-00116,ACCT-000316,TXN-0000045,card replacement,email,Urgent,New,2026-05-30 10:40 ET,Cards Operations,KB-0002,"Customer needs a replacement card due to loss, damage, expiration, or suspected compromise.","Verify identity, block old card when needed, confirm delivery address and shipping speed.",Pending copilot recommendation,Confused,Synthetic service case
CASE-00066,CUST-00127,ACCT-000127,TXN-0000018,address change,phone,High,In Progress,2026-06-21 11:48 ET,Customer Maintenance,KB-0003,Customer asks to update mailing or residential address.,Complete step-up verification and confirm tax-document and card-delivery impacts.,Pending copilot recommendation,Neutral,Synthetic service case
CASE-00067,CUST-00138,ACCT-000338,TXN-0000391,payment not posted,secure message,Urgent,Waiting on Customer,2026-05-22 12:36 ET,Payments Research,KB-0004,"Customer says a bill pay, loan, card, or deposit payment has not appeared.","Collect trace data, check posting windows, and open research if outside SLA.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00068,CUST-00149,ACCT-000149,TXN-0000364,account access issue,chat,Low,Resolved,2026-05-15 13:05 ET,Digital Support,KB-0005,"Customer cannot sign in, pass MFA, reset password, or access mobile banking.","Validate identity, unlock profile, reset MFA when appropriate, and warn about scams.",Access recovery completed,Neutral,Synthetic service case
CASE-00069,CUST-00160,ACCT-000360,TXN-0000337,wire transfer question,email,Medium,Escalated,2026-05-18 14:11 ET,Wire Desk,KB-0006,"Customer asks about wire status, cutoff, fees, limits, or required details.","Explain cutoff, fee, status, and escalation path without promising settlement.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00070,CUST-00171,ACCT-000171,TXN-0000310,loan payoff question,phone,High,Escalated,2026-06-08 15:28 ET,Loan Servicing,KB-0007,"Customer requests payoff balance, quote expiration, per diem, or lien release timing.","Generate payoff quote, explain good-through date and acceptable payment methods.",Pending copilot recommendation,Confused,Synthetic service case
CASE-00071,CUST-00182,ACCT-000382,TXN-0000283,dispute handoff,secure message,Urgent,In Progress,2026-06-15 16:43 ET,Disputes Intake,KB-0008,Customer reports an unauthorized or incorrect transaction that requires formal dispute handling.,"Capture facts, provide provisional credit expectations, and transfer to disputes.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00072,CUST-00193,ACCT-000193,TXN-0000256,complaint escalation,chat,Low,Waiting on Customer,2026-06-17 08:23 ET,Executive Resolution,KB-0009,"Customer expresses dissatisfaction, regulatory concern, hardship, or repeated unresolved contact.","Acknowledge complaint, avoid defensiveness, create escalation record, and set follow-up window.",Pending copilot recommendation,Frustrated,Synthetic service case
CASE-00073,CUST-00004,ACCT-000204,TXN-0000029,overdraft fee reversal,email,Medium,Resolved,2026-06-22 09:21 ET,Deposits Servicing,KB-0001,Customer requests an overdraft fee refund after a timing or courtesy issue.,Apply courtesy credit when eligible; otherwise explain policy and alternatives.,Fee decision documented,Neutral,Synthetic service case
CASE-00074,CUST-00015,ACCT-000015,TXN-0000002,card replacement,phone,High,Escalated,2026-06-12 10:02 ET,Cards Operations,KB-0002,"Customer needs a replacement card due to loss, damage, expiration, or suspected compromise.","Verify identity, block old card when needed, confirm delivery address and shipping speed.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00075,CUST-00026,ACCT-000226,TXN-0000375,address change,secure message,Urgent,New,2026-05-11 11:31 ET,Customer Maintenance,KB-0003,Customer asks to update mailing or residential address.,Complete step-up verification and confirm tax-document and card-delivery impacts.,Pending copilot recommendation,Confused,Synthetic service case
CASE-00076,CUST-00037,ACCT-000037,TXN-0000348,payment not posted,chat,Low,In Progress,2026-06-10 12:36 ET,Payments Research,KB-0004,"Customer says a bill pay, loan, card, or deposit payment has not appeared.","Collect trace data, check posting windows, and open research if outside SLA.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00077,CUST-00048,ACCT-000248,TXN-0000321,account access issue,email,Medium,Waiting on Customer,2026-05-30 13:07 ET,Digital Support,KB-0005,"Customer cannot sign in, pass MFA, reset password, or access mobile banking.","Validate identity, unlock profile, reset MFA when appropriate, and warn about scams.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00078,CUST-00059,ACCT-000059,TXN-0000294,wire transfer question,phone,Urgent,Resolved,2026-06-02 14:49 ET,Wire Desk,KB-0006,"Customer asks about wire status, cutoff, fees, limits, or required details.","Explain cutoff, fee, status, and escalation path without promising settlement.",Wire guidance provided,Neutral,Synthetic service case
CASE-00079,CUST-00070,ACCT-000270,TXN-0000267,loan payoff question,secure message,Urgent,Escalated,2026-05-29 15:39 ET,Loan Servicing,KB-0007,"Customer requests payoff balance, quote expiration, per diem, or lien release timing.","Generate payoff quote, explain good-through date and acceptable payment methods.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00080,CUST-00081,ACCT-000081,TXN-0000240,dispute handoff,chat,Low,Escalated,2026-05-22 16:06 ET,Disputes Intake,KB-0008,Customer reports an unauthorized or incorrect transaction that requires formal dispute handling.,"Capture facts, provide provisional credit expectations, and transfer to disputes.",Pending copilot recommendation,Frustrated,Synthetic service case
CASE-00081,CUST-00092,ACCT-000292,TXN-0000213,complaint escalation,email,Medium,In Progress,2026-06-18 08:33 ET,Executive Resolution,KB-0009,"Customer expresses dissatisfaction, regulatory concern, hardship, or repeated unresolved contact.","Acknowledge complaint, avoid defensiveness, create escalation record, and set follow-up window.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00082,CUST-00103,ACCT-000103,TXN-0000186,overdraft fee reversal,phone,High,Waiting on Customer,2026-06-18 09:56 ET,Deposits Servicing,KB-0001,Customer requests an overdraft fee refund after a timing or courtesy issue.,Apply courtesy credit when eligible; otherwise explain policy and alternatives.,Pending copilot recommendation,Neutral,Synthetic service case
CASE-00083,CUST-00114,ACCT-000314,TXN-0000159,card replacement,secure message,Urgent,Resolved,2026-06-06 10:37 ET,Cards Operations,KB-0002,"Customer needs a replacement card due to loss, damage, expiration, or suspected compromise.","Verify identity, block old card when needed, confirm delivery address and shipping speed.",Card replacement initiated,Neutral,Synthetic service case
CASE-00084,CUST-00125,ACCT-000125,TXN-0000132,address change,chat,Low,Escalated,2026-06-10 11:45 ET,Customer Maintenance,KB-0003,Customer asks to update mailing or residential address.,Complete step-up verification and confirm tax-document and card-delivery impacts.,Pending copilot recommendation,Neutral,Synthetic service case
CASE-00085,CUST-00136,ACCT-000336,TXN-0000105,payment not posted,email,Medium,New,2026-05-18 12:06 ET,Payments Research,KB-0004,"Customer says a bill pay, loan, card, or deposit payment has not appeared.","Collect trace data, check posting windows, and open research if outside SLA.",Pending copilot recommendation,Confused,Synthetic service case
CASE-00086,CUST-00147,ACCT-000147,TXN-0000078,account access issue,phone,High,In Progress,2026-05-17 13:04 ET,Digital Support,KB-0005,"Customer cannot sign in, pass MFA, reset password, or access mobile banking.","Validate identity, unlock profile, reset MFA when appropriate, and warn about scams.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00087,CUST-00158,ACCT-000358,TXN-0000051,wire transfer question,secure message,Urgent,Waiting on Customer,2026-06-07 14:52 ET,Wire Desk,KB-0006,"Customer asks about wire status, cutoff, fees, limits, or required details.","Explain cutoff, fee, status, and escalation path without promising settlement.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00088,CUST-00169,ACCT-000169,TXN-0000024,loan payoff question,chat,Low,Resolved,2026-05-16 15:27 ET,Loan Servicing,KB-0007,"Customer requests payoff balance, quote expiration, per diem, or lien release timing.","Generate payoff quote, explain good-through date and acceptable payment methods.",Payoff instructions sent,Frustrated,Synthetic service case
CASE-00089,CUST-00180,ACCT-000380,TXN-0000397,dispute handoff,email,Medium,Escalated,2026-05-21 16:55 ET,Disputes Intake,KB-0008,Customer reports an unauthorized or incorrect transaction that requires formal dispute handling.,"Capture facts, provide provisional credit expectations, and transfer to disputes.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00090,CUST-00191,ACCT-000191,TXN-0000370,complaint escalation,phone,High,Escalated,2026-05-12 08:26 ET,Executive Resolution,KB-0009,"Customer expresses dissatisfaction, regulatory concern, hardship, or repeated unresolved contact.","Acknowledge complaint, avoid defensiveness, create escalation record, and set follow-up window.",Pending copilot recommendation,Confused,Synthetic service case
CASE-00091,CUST-00002,ACCT-000202,TXN-0000143,overdraft fee reversal,secure message,Urgent,In Progress,2026-05-19 09:50 ET,Deposits Servicing,KB-0001,Customer requests an overdraft fee refund after a timing or courtesy issue.,Apply courtesy credit when eligible; otherwise explain policy and alternatives.,Pending copilot recommendation,Neutral,Synthetic service case
CASE-00092,CUST-00013,ACCT-000013,TXN-0000116,card replacement,chat,Low,Waiting on Customer,2026-06-09 10:27 ET,Cards Operations,KB-0002,"Customer needs a replacement card due to loss, damage, expiration, or suspected compromise.","Verify identity, block old card when needed, confirm delivery address and shipping speed.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00093,CUST-00024,ACCT-000224,TXN-0000089,address change,email,Medium,Resolved,2026-06-02 11:14 ET,Customer Maintenance,KB-0003,Customer asks to update mailing or residential address.,Complete step-up verification and confirm tax-document and card-delivery impacts.,Address update queued,Neutral,Synthetic service case
CASE-00094,CUST-00035,ACCT-000035,TXN-0000062,payment not posted,phone,High,Escalated,2026-06-06 12:39 ET,Payments Research,KB-0004,"Customer says a bill pay, loan, card, or deposit payment has not appeared.","Collect trace data, check posting windows, and open research if outside SLA.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00095,CUST-00046,ACCT-000246,TXN-0000035,account access issue,secure message,Urgent,New,2026-06-04 13:07 ET,Digital Support,KB-0005,"Customer cannot sign in, pass MFA, reset password, or access mobile banking.","Validate identity, unlock profile, reset MFA when appropriate, and warn about scams.",Pending copilot recommendation,Confused,Synthetic service case
CASE-00096,CUST-00057,ACCT-000057,TXN-0000008,wire transfer question,chat,Low,In Progress,2026-05-15 14:58 ET,Wire Desk,KB-0006,"Customer asks about wire status, cutoff, fees, limits, or required details.","Explain cutoff, fee, status, and escalation path without promising settlement.",Pending copilot recommendation,Frustrated,Synthetic service case
CASE-00097,CUST-00068,ACCT-000268,TXN-0000381,loan payoff question,email,Medium,Waiting on Customer,2026-05-31 15:48 ET,Loan Servicing,KB-0007,"Customer requests payoff balance, quote expiration, per diem, or lien release timing.","Generate payoff quote, explain good-through date and acceptable payment methods.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00098,CUST-00079,ACCT-000079,TXN-0000354,dispute handoff,phone,High,Resolved,2026-06-06 16:51 ET,Disputes Intake,KB-0008,Customer reports an unauthorized or incorrect transaction that requires formal dispute handling.,"Capture facts, provide provisional credit expectations, and transfer to disputes.",Dispute handoff completed,Neutral,Synthetic service case
CASE-00099,CUST-00090,ACCT-000290,TXN-0000327,complaint escalation,secure message,Urgent,Escalated,2026-06-19 08:43 ET,Executive Resolution,KB-0009,"Customer expresses dissatisfaction, regulatory concern, hardship, or repeated unresolved contact.","Acknowledge complaint, avoid defensiveness, create escalation record, and set follow-up window.",Pending copilot recommendation,Neutral,Synthetic service case
CASE-00100,CUST-00101,ACCT-000101,TXN-0000300,overdraft fee reversal,chat,Low,Escalated,2026-05-19 09:32 ET,Deposits Servicing,KB-0001,Customer requests an overdraft fee refund after a timing or courtesy issue.,Apply courtesy credit when eligible; otherwise explain policy and alternatives.,Pending copilot recommendation,Confused,Synthetic service case
